Time, Voltage, Temperature 
22,1.6729869,23.94
143,1.6713756,23.94
264,1.6737926,23.94
385,1.675404,23.94
504,1.6737926,23.94
626,1.6729869,24.19
747,1.6866834,24.19
869,1.6713756,24.19
989,1.682655,24.19
1108,1.6745982,24.19
1229,1.6713756,24.19
1351,1.6866834,24.19
1472,1.6681529,24.19
1594,1.6713756,24.19
1714,1.680238,24.19
1834,1.6858778,24.19
1955,1.675404,24.19
2074,1.6721812,24.19
2196,1.6770153,24.19
2317,1.6762097,24.19
2439,1.6858778,24.19
2560,1.680238,24.19
2680,1.6794324,24.19
2801,1.6745982,24.19
2981,1.6737926,24.19
3102,1.68990608,24.19
3226,1.6810436,24.19
3346,1.6737926,24.19
3467,1.682655,24.19
3587,1.6874892,24.19
3708,1.6891004,24.19
3829,1.6858778,24.19
3950,1.6786266,24.19
4071,1.6745982,24.19
4192,1.675404,24.19
4311,1.682655,24.19
4431,1.6721812,24.19
4552,1.6762097,24.19
4674,1.6834607,24.19
4798,1.6858778,24.19
4920,1.6810436,24.19
5040,1.6866834,24.19
5161,1.6713756,24.19
5282,1.6850721,24.19
5407,1.682655,24.19
5526,1.6850721,24.19
5650,1.6834607,24.19
5774,1.6794324,24.19
5895,1.6866834,24.19
6019,1.6721812,24.19
6141,1.6737926,24.19
6262,1.6834607,24.19
6387,1.6745982,24.19
6508,1.680238,24.19
6627,1.6770153,24.19
6748,1.6834607,24.19
6873,1.6834607,24.19
6996,1.68990608,24.19
7119,1.6891004,24.19
7241,1.6745982,24.25
7362,1.6850721,24.25
7486,1.6762097,24.25
7607,1.677821,24.25
7726,1.6842664,24.25
7847,1.6770153,24.25
7968,1.6842664,24.25
8089,1.682655,24.25
8208,1.675404,24.25
8327,1.6858778,24.25
8448,1.6858778,24.25
8569,1.6810436,24.25
8691,1.6721812,24.25
8811,1.677821,24.25
8930,1.675404,24.25
9049,1.6745982,24.25
9171,1.6810436,24.19
9291,1.6786266,24.19
9412,1.6681529,24.19
9534,1.6705699,24.19
9655,1.6762097,24.19
9776,1.6858778,24.19
9897,1.6850721,24.19
10021,1.6866834,24.19
10143,1.6842664,24.19
10263,1.6834607,24.19
10387,1.6842664,24.19
10508,1.6834607,24.25
10632,1.6850721,24.25
10757,1.6762097,24.25
10878,1.6834607,24.25
11002,1.6891004,24.25
11124,1.6858778,24.25
11245,1.6729869,24.25
11367,1.6713756,24.25
11487,1.6866834,24.25
11608,1.6874892,24.25
11729,1.6713756,24.19
11854,1.6745982,24.19
11975,1.680238,24.19
12095,1.6850721,24.19
12219,1.6794324,24.19
12340,1.6770153,24.19
12462,1.6874892,24.19
12583,1.6866834,24.19
12704,1.6729869,24.19
12826,1.6705699,24.19
12947,1.6729869,24.25
13068,1.68990608,24.25
13192,1.68990608,24.25
13315,1.6713756,24.25
13437,1.680238,24.25
13556,1.68990608,24.25
13679,1.677821,24.25
13799,1.677821,24.25
13918,1.6834607,24.25
14043,1.6842664,24.25
14163,1.6842664,24.19
14284,1.6866834,24.19
14405,1.6794324,24.19
14527,1.6858778,24.19
14648,1.6745982,24.19
14769,1.6786266,24.19
14890,1.682655,24.19
15009,1.6874892,24.19
15129,1.6810436,24.19
15250,1.6810436,24.19
15371,1.6729869,24.19
15493,1.6842664,24.19
15614,1.6770153,24.19
15736,1.6786266,24.19
15857,1.6705699,24.19
15979,1.6882948,24.19
16099,1.6858778,24.25
16220,1.6794324,24.25
16341,1.675404,24.25
16460,1.682655,24.25
16579,1.6850721,24.25
16703,1.6850721,24.25
16827,1.6834607,24.25
16951,1.677821,24.25
17071,1.68990608,24.25
17195,1.6834607,24.25
17318,1.6737926,24.25
17439,1.6891004,24.25
17564,1.6810436,24.25
17685,1.6737926,24.25
17806,1.6891004,24.25
17927,1.6850721,24.25
18051,1.6874892,24.19
18172,1.6737926,24.19
18293,1.6794324,24.19
18413,1.6874892,24.19
18534,1.6834607,24.19
18658,1.682655,24.25
18778,1.6745982,24.25
18899,1.6794324,24.25
19020,1.6713756,24.25
19142,1.6762097,24.25
19263,1.6762097,24.25
19384,1.6874892,24.25
19505,1.6762097,24.25
19627,1.6850721,24.25
19750,1.6770153,24.25
19872,1.6745982,24.25
19993,1.6762097,24.19
20114,1.6850721,24.19
20238,1.6834607,24.19
20362,1.6842664,24.19
20483,1.6729869,24.19
20605,1.6770153,24.19
20727,1.6737926,24.19
20848,1.682655,24.19
20967,1.677821,24.19
21086,1.6770153,24.19
21208,1.6882948,24.25
21328,1.682655,24.25
21448,1.6842664,24.25
21569,1.6762097,24.25
21691,1.6762097,24.25
21812,1.680238,24.25
21931,1.6762097,24.19
22053,1.6874892,24.19
22174,1.6931288,24.19
22295,1.6842664,24.19
22417,1.6737926,24.19
22538,1.69071168,24.19
22661,1.6705699,24.25
22782,1.6745982,24.25
22903,1.6737926,24.25
23025,1.677821,24.25
23144,1.680238,24.25
23298,1.6721812,24.25
23419,1.6737926,24.25
23541,1.680238,24.25
23660,1.677821,24.25
23780,1.6842664,24.25
23901,1.677821,24.19
24021,1.6842664,24.19
24142,1.6874892,24.19
24263,1.6794324,24.19
24384,1.6874892,24.19
