Time, Voltage, Temperature 
21,2.3805218,1.44
143,2.3950238,1.44
264,2.3942182,1.44
386,2.374882,1.44
505,2.3740764,1.44
627,2.3861616,1.5
747,2.374882,1.5
867,2.3764934,1.5
989,2.3797162,1.5
1110,2.3861616,1.5
1231,2.3813274,1.5
1352,2.377299,1.56
1472,2.3885786,1.56
1593,2.3861616,1.56
1713,2.374882,1.56
1833,2.3893842,1.56
1954,2.39019,1.56
2073,2.3845504,1.56
2193,2.3885786,1.5
2314,2.382133,1.5
2434,2.370048,1.5
2554,2.3837448,1.5
2674,2.3829388,1.5
2795,2.3708536,1.56
2917,2.3893842,1.56
3038,2.3740764,1.56
3212,2.3845504,1.56
3334,2.3789104,1.56
3455,2.3950238,1.56
3577,2.377299,1.56
3696,2.387773,1.56
3815,2.3958296,1.56
3936,2.3732708,1.56
4057,2.377299,1.56
4177,2.3732708,1.56
4298,2.3724652,1.62
4419,2.3764934,1.62
4540,2.3829388,1.62
4661,2.3805218,1.62
4782,2.3805218,1.62
4903,2.3732708,1.62
5024,2.3934126,1.62
5146,2.3724652,1.62
5266,2.3934126,1.62
5388,2.3918014,1.62
5509,2.3829388,1.62
5630,2.3950238,1.62
5751,2.3918014,1.62
5873,2.392607,1.62
5992,2.3829388,1.62
6113,2.3869672,1.62
6235,2.3740764,1.62
6359,2.3885786,1.62
6480,2.3756878,1.62
6601,2.3813274,1.62
6723,2.385356,1.62
6842,2.3724652,1.62
6963,2.385356,1.62
7082,2.385356,1.69
7201,2.3998582,1.69
7322,2.3893842,1.69
7443,2.374882,1.69
7563,2.3789104,1.69
7684,2.3861616,1.69
7805,2.3837448,1.69
7926,2.39019,1.69
8045,2.3732708,1.69
8165,2.370048,1.69
8285,2.3942182,1.69
8406,2.39019,1.69
8524,2.3756878,1.69
8646,2.3732708,1.69
8767,2.3805218,1.69
8888,2.3676312,1.69
9009,2.370048,1.69
9129,2.39019,1.69
9247,2.39019,1.69
9365,2.3918014,1.69
9487,2.3789104,1.69
9608,2.3756878,1.69
9729,2.3813274,1.69
9850,2.3732708,1.69
9971,2.3684368,1.69
10092,2.3797162,1.69
10214,2.3934126,1.69
10335,2.3732708,1.69
10456,2.3684368,1.69
10576,2.377299,1.69
10695,2.3990524,1.69
10816,2.382133,1.69
10936,2.3740764,1.69
11057,2.392607,1.69
11177,2.3837448,1.69
11298,2.3869672,1.69
11419,2.3764934,1.75
11540,2.3789104,1.75
11661,2.3732708,1.75
11782,2.382133,1.75
11902,2.3797162,1.75
12024,2.3684368,1.75
12144,2.3861616,1.75
12265,2.3845504,1.75
12386,2.3797162,1.75
12511,2.3966352,1.75
12632,2.3797162,1.75
12753,2.3845504,1.75
12874,2.3764934,1.75
12995,2.382133,1.75
13114,2.3893842,1.75
13235,2.3837448,1.75
13356,2.366825,1.75
13476,2.3869672,1.75
13597,2.3644082,1.75
13719,2.3869672,1.75
13840,2.3724652,1.75
13961,2.3942182,1.75
14083,2.3942182,1.75
14204,2.3684368,1.81
14324,2.3692424,1.81
14444,2.392607,1.81
14564,2.370048,1.81
14683,2.3829388,1.81
14804,2.3708536,1.81
14925,2.3869672,1.81
15047,2.3692424,1.81
15167,2.385356,1.81
15286,2.3869672,1.81
15408,2.3813274,1.81
15529,2.3708536,1.81
15650,2.3918014,1.81
15772,2.3869672,1.81
15893,2.3934126,1.81
16014,2.3885786,1.81
16135,2.3813274,1.81
16256,2.3909956,1.81
16377,2.3918014,1.81
16498,2.377299,1.81
16617,2.39019,1.81
16735,2.387773,1.81
16855,2.382133,1.81
16975,2.3692424,1.81
17096,2.3837448,1.81
17217,2.3837448,1.81
17337,2.3732708,1.81
17458,2.3756878,1.81
17580,2.382133,1.81
17699,2.39019,1.81
17818,2.3627968,1.81
17939,2.3813274,1.81
18060,2.387773,1.81
18180,2.3676312,1.81
18301,2.3869672,1.81
18426,2.3676312,1.81
18547,2.3837448,1.81
18668,2.382133,1.81
18788,2.387773,1.81
18908,2.3789104,1.81
19029,2.3885786,1.81
19150,2.3893842,1.81
19271,2.3756878,1.88
19392,2.370048,1.88
19512,2.374882,1.88
19631,2.3676312,1.88
19753,2.387773,1.88
19872,2.3861616,1.88
19993,2.3845504,1.88
20115,2.3885786,1.88
20236,2.3958296,1.88
20357,2.3813274,1.88
20479,2.382133,1.88
20598,2.377299,1.88
20717,2.3893842,1.88
20838,2.370048,1.88
20958,2.3837448,1.88
21079,2.3805218,1.88
21200,2.3893842,1.88
21322,2.3644082,1.88
21443,2.3740764,1.88
21564,2.39019,1.88
21682,2.3869672,1.88
21804,2.3869672,1.88
21924,2.3918014,1.88
22046,2.3893842,1.88
22167,2.3724652,1.88
22288,2.3893842,1.88
22409,2.3764934,1.88
22530,2.39019,1.88
22648,2.3918014,1.88
22770,2.3740764,1.88
22891,2.387773,1.88
23011,2.3797162,1.88
23133,2.3676312,1.88
23253,2.3837448,1.88
23373,2.3837448,1.88
23493,2.3861616,1.88
23613,2.382133,1.88
23732,2.3789104,1.88
23853,2.3676312,1.88
23975,2.3692424,1.88
24096,2.374882,1.88
24215,2.3636026,1.88
24336,2.370048,1.94
24494,2.3837448,1.94
24615,2.3805218,1.94
24737,2.3692424,1.94
24858,2.3966352,1.94
24979,2.39019,1.94
25097,2.3958296,1.94
25218,2.377299,1.94
25338,2.36038,1.94
25457,2.3861616,1.94
25577,2.392607,1.94
25697,2.3805218,1.94
25818,2.3595744,1.94
25939,2.3869672,1.94
26061,2.385356,1.94
26180,2.3732708,1.94
26301,2.382133,1.94
26421,2.3861616,1.94
26541,2.39019,1.94
26659,2.3869672,1.94
26780,2.3692424,1.94
26900,2.3885786,1.94
27021,2.3789104,1.94
27142,2.3861616,1.94
27262,2.3660196,1.94
27383,2.3740764,1.94
27504,2.3893842,1.94
27625,2.366825,1.94
27744,2.3869672,1.94
27865,2.3869672,1.94
27986,2.392607,1.94
28105,2.370048,1.94
28224,2.366825,1.94
28343,2.3861616,1.94
28463,2.3692424,1.94
28584,2.374882,1.94
28703,2.385356,1.94
28822,2.387773,1.94
28941,2.3934126,1.94
29062,2.3829388,1.94
29183,2.3893842,1.94
29304,2.377299,1.94
29423,2.377299,1.94
29542,2.3684368,1.94
29662,2.370048,1.94
29781,2.3789104,1.94
29902,2.3660196,1.94
30023,2.3885786,1.94
30144,2.3958296,2.0
30265,2.3837448,2.0
30385,2.3764934,2.0
30509,2.3885786,2.0
30631,2.3861616,2.0
30751,2.3764934,2.0
30872,2.3845504,2.0
30993,2.382133,2.0
31112,2.3708536,2.0
31233,2.3845504,2.0
31354,2.3805218,2.0
31475,2.370048,2.0
31594,2.3805218,2.0
31715,2.377299,2.0
31834,2.3829388,2.0
31955,2.3692424,2.0
32076,2.3837448,2.0
32196,2.385356,2.0
32315,2.3676312,2.0
32436,2.3797162,2.0
32557,2.3692424,2.0
32678,2.3918014,2.0
32799,2.382133,2.0
32918,2.39019,2.0
33036,2.385356,2.0
33155,2.377299,2.0
33274,2.370048,2.0
33393,2.3740764,2.0
33514,2.3918014,2.0
33635,2.382133,2.0
33754,2.3740764,2.0
33875,2.3756878,2.06
33996,2.3708536,2.06
34117,2.3797162,2.06
34238,2.3861616,2.06
34358,2.366825,2.06
34477,2.387773,2.06
34596,2.3893842,2.06
34717,2.3684368,2.06
34837,2.3789104,2.06
34958,2.39019,2.06
35076,2.3829388,2.06
35197,2.3692424,2.06
35318,2.3861616,2.06
35438,2.3789104,2.06
35559,2.387773,2.06
35678,2.382133,2.06
35797,2.3692424,2.06
35918,2.3764934,2.06
36039,2.3789104,2.06
36160,2.3893842,2.06
36281,2.3732708,2.06
36402,2.3660196,2.06
36523,2.3885786,2.06
36647,2.3676312,2.06
36769,2.3813274,2.06
36890,2.3708536,2.06
37011,2.374882,2.06
37130,2.3942182,2.06
37251,2.3813274,2.06
37372,2.3636026,2.06
37493,2.3708536,2.06
37614,2.3805218,2.06
37735,2.3845504,2.06
37856,2.370048,2.06
37975,2.3740764,2.06
38096,2.3756878,2.06
38217,2.374882,2.06
38336,2.3805218,2.06
38457,2.3789104,2.06
38578,2.3885786,2.06
38699,2.3684368,2.06
38819,2.3732708,2.06
38940,2.3869672,2.06
39061,2.385356,2.06
39180,2.387773,2.06
39299,2.3869672,2.06
39420,2.3724652,2.06
39540,2.3740764,2.06
39661,2.3829388,2.12
39782,2.3813274,2.12
39903,2.3861616,2.12
40023,2.3789104,2.12
40144,2.370048,2.12
40263,2.3708536,2.12
40384,2.385356,2.12
40503,2.366825,2.12
40622,2.3885786,2.12
40743,2.3676312,2.12
40864,2.374882,2.12
40983,2.3789104,2.12
41104,2.3837448,2.12
41224,2.3756878,2.12
41345,2.3869672,2.12
41466,2.3805218,2.12
41587,2.3813274,2.12
41708,2.3861616,2.12
41828,2.3861616,2.12
41948,2.3636026,2.12
42069,2.3636026,2.12
42190,2.3660196,2.12
42311,2.3756878,2.12
42432,2.3732708,2.12
42555,2.3644082,2.12
42677,2.3797162,2.12
42798,2.3764934,2.12
42919,2.3829388,2.12
43040,2.3676312,2.12
43161,2.3756878,2.12
43282,2.387773,2.12
43401,2.3676312,2.12
43522,2.3692424,2.12
43643,2.3797162,2.12
43764,2.3893842,2.12
43885,2.374882,2.12
44004,2.3789104,2.12
44125,2.3869672,2.12
44246,2.3684368,2.12
44366,2.3732708,2.12
44487,2.3805218,2.12
44608,2.3676312,2.19
44729,2.3724652,2.19
44849,2.3692424,2.19
44970,2.3805218,2.19
45091,2.3829388,2.19
45212,2.3845504,2.19
45333,2.3636026,2.19
45454,2.3676312,2.19
45575,2.3652138,2.19
45696,2.3724652,2.19
45816,2.3861616,2.19
45936,2.377299,2.19
46055,2.3829388,2.19
46176,2.3789104,2.19
46297,2.3636026,2.19
46418,2.3789104,2.19
46539,2.3789104,2.19
46660,2.3684368,2.19
46780,2.3724652,2.19
46900,2.3684368,2.19
47020,2.370048,2.19
47139,2.3797162,2.19
47260,2.3692424,2.19
47381,2.387773,2.19
47500,2.3627968,2.19
47620,2.3797162,2.19
47741,2.3861616,2.19
47861,2.382133,2.19
47980,2.3756878,2.19
48101,2.3732708,2.19
48222,2.3692424,2.19
48343,2.3789104,2.19
48505,2.382133,2.19
48625,2.366825,2.19
48744,2.382133,2.19
48864,2.3805218,2.19
48985,2.3684368,2.19
49105,2.3869672,2.19
49226,2.3837448,2.19
49346,2.3756878,2.19
49467,2.3660196,2.19
49588,2.377299,2.25
49707,2.3885786,2.25
49828,2.374882,2.25
49947,2.382133,2.25
50066,2.387773,2.25
50185,2.387773,2.25
50304,2.3692424,2.25
50425,2.3756878,2.25
50546,2.3764934,2.25
50667,2.370048,2.25
50786,2.3676312,2.25
50907,2.3789104,2.25
51028,2.3676312,2.25
51149,2.3829388,2.25
51270,2.3627968,2.25
51390,2.3708536,2.25
51511,2.3644082,2.25
51632,2.3660196,2.25
51753,2.3692424,2.25
51874,2.377299,2.25
51993,2.385356,2.25
52112,2.3805218,2.25
52233,2.39019,2.25
52351,2.385356,2.25
52470,2.3652138,2.25
52591,2.370048,2.25
52710,2.377299,2.25
52829,2.3861616,2.25
52949,2.3676312,2.25
53070,2.3934126,2.25
53191,2.3885786,2.25
53312,2.3732708,2.25
53433,2.3789104,2.25
53554,2.3732708,2.25
53675,2.370048,2.25
53794,2.3885786,2.25
53915,2.3684368,2.25
54035,2.370048,2.25
54154,2.3764934,2.25
54275,2.3829388,2.25
54399,2.3740764,2.25
54521,2.3676312,2.25
54642,2.3797162,2.31
54763,2.374882,2.31
54882,2.3829388,2.31
55003,2.385356,2.31
55122,2.3756878,2.31
55243,2.385356,2.31
55362,2.3893842,2.31
55483,2.370048,2.31
55602,2.3692424,2.31
55723,2.374882,2.31
55842,2.387773,2.31
55961,2.3885786,2.31
56082,2.3595744,2.31
56203,2.3684368,2.31
56323,2.3732708,2.31
56444,2.370048,2.31
56563,2.385356,2.31
56682,2.3797162,2.31
56803,2.3813274,2.31
56924,2.3829388,2.31
57045,2.3797162,2.31
57166,2.3861616,2.31
57287,2.3861616,2.31
57407,2.3708536,2.31
57528,2.3869672,2.31
57649,2.3627968,2.31
57769,2.3676312,2.31
57890,2.3684368,2.31
58010,2.3684368,2.31
58130,2.370048,2.31
58249,2.3660196,2.31
58370,2.3684368,2.38
58490,2.382133,2.38
58609,2.3789104,2.38
58730,2.3813274,2.38
58851,2.3869672,2.38
58972,2.3789104,2.38
59093,2.3805218,2.38
59214,2.3644082,2.38
59335,2.374882,2.38
59454,2.3660196,2.38
59575,2.3829388,2.38
59696,2.3660196,2.38
59817,2.3829388,2.38
59938,2.3797162,2.38
60059,2.3805218,2.38
60180,2.3724652,2.38
60304,2.3684368,2.38
60425,2.366825,2.38
60545,2.366825,2.38
60664,2.385356,2.38
60783,2.3797162,2.38
60904,2.3644082,2.38
61025,2.3781048,2.38
61146,2.3660196,2.38
61267,2.3684368,2.38
61387,2.3813274,2.38
61508,2.3797162,2.38
61629,2.3829388,2.38
61750,2.385356,2.38
61869,2.382133,2.38
61988,2.3732708,2.38
62109,2.3797162,2.38
62230,2.3684368,2.38
62350,2.366825,2.38
62469,2.3724652,2.38
62589,2.3644082,2.38
62710,2.385356,2.38
62829,2.382133,2.38
62949,2.3692424,2.38
63070,2.385356,2.38
63189,2.3724652,2.38
63310,2.3861616,2.38
63430,2.3724652,2.44
63550,2.370048,2.44
63669,2.3845504,2.44
63790,2.3837448,2.44
63911,2.3797162,2.44
64032,2.3660196,2.44
64153,2.3692424,2.44
64274,2.3684368,2.44
64394,2.377299,2.44
64513,2.385356,2.44
64632,2.39019,2.44
64750,2.3676312,2.44
64871,2.3764934,2.44
64992,2.3611856,2.44
65113,2.3764934,2.44
65234,2.3619912,2.44
65355,2.3627968,2.44
65475,2.3611856,2.44
65596,2.385356,2.44
65715,2.3893842,2.44
65836,2.3764934,2.44
65957,2.370048,2.44
66076,2.3627968,2.44
66196,2.3732708,2.44
66320,2.374882,2.5
66440,2.3627968,2.5
66560,2.385356,2.5
66679,2.382133,2.5
66799,2.3611856,2.5
66920,2.3740764,2.5
67041,2.3644082,2.5
67162,2.3676312,2.5
67283,2.3724652,2.5
67404,2.3716596,2.5
67525,2.382133,2.5
67645,2.3837448,2.5
67765,2.3644082,2.5
67886,2.374882,2.5
68005,2.3660196,2.5
68126,2.3732708,2.5
68247,2.374882,2.5
68366,2.3732708,2.5
68487,2.370048,2.5
68606,2.3861616,2.5
68727,2.3644082,2.5
68848,2.3627968,2.5
68968,2.3837448,2.5
69088,2.3732708,2.56
69209,2.3805218,2.56
69330,2.377299,2.56
69450,2.3595744,2.56
69571,2.3611856,2.56
69692,2.3861616,2.56
69813,2.3764934,2.56
69934,2.3805218,2.56
70055,2.366825,2.56
70174,2.3869672,2.56
70295,2.3837448,2.56
70416,2.366825,2.56
70535,2.3660196,2.56
70656,2.366825,2.56
70776,2.3619912,2.56
70897,2.3627968,2.56
71017,2.385356,2.56
71136,2.3756878,2.56
71257,2.377299,2.56
71377,2.3724652,2.56
71497,2.3708536,2.56
71618,2.3813274,2.56
71739,2.3692424,2.56
71860,2.3684368,2.56
71980,2.374882,2.56
72099,2.3764934,2.56
72220,2.3789104,2.56
72379,2.3724652,2.56
72500,2.377299,2.56
72620,2.36038,2.56
72738,2.3676312,2.62
72859,2.385356,2.62
72978,2.3764934,2.62
73099,2.377299,2.62
73219,2.3764934,2.62
73340,2.3644082,2.62
73461,2.370048,2.62
73580,2.3837448,2.62
73701,2.366825,2.62
73820,2.3740764,2.62
73941,2.3829388,2.62
74062,2.3660196,2.62
74183,2.3636026,2.62
74304,2.3797162,2.62
74425,2.3805218,2.62
74546,2.3764934,2.62
74667,2.382133,2.62
74787,2.3869672,2.62
74908,2.3869672,2.62
75029,2.3644082,2.62
75150,2.3660196,2.62
75271,2.3756878,2.62
75392,2.377299,2.62
75512,2.3619912,2.69
75633,2.3789104,2.69
75754,2.3692424,2.69
75875,2.370048,2.69
75994,2.3636026,2.69
76115,2.3611856,2.69
76236,2.3563516,2.69
76357,2.3636026,2.69
76478,2.3845504,2.69
76599,2.3829388,2.69
76720,2.3789104,2.69
76841,2.3627968,2.69
76961,2.3764934,2.69
77082,2.3813274,2.69
77203,2.382133,2.69
77323,2.3789104,2.69
77444,2.3805218,2.69
77565,2.3619912,2.69
77686,2.3676312,2.69
77807,2.3636026,2.69
77928,2.3619912,2.69
78049,2.3627968,2.69
78169,2.3756878,2.69
78293,2.3611856,2.69
78415,2.3740764,2.69
78536,2.374882,2.69
78655,2.3805218,2.69
78776,2.377299,2.69
78896,2.3764934,2.69
79017,2.3813274,2.69
79138,2.3579628,2.75
79264,2.3724652,2.75
79385,2.3732708,2.75
79506,2.3724652,2.75
79626,2.382133,2.75
79745,2.3595744,2.75
79866,2.3756878,2.75
79987,2.3595744,2.75
80108,2.355546,2.75
80227,2.3676312,2.75
80348,2.3756878,2.75
80469,2.3805218,2.75
80590,2.385356,2.75
80709,2.370048,2.75
80829,2.355546,2.75
80948,2.3676312,2.75
81069,2.3571572,2.75
81190,2.3627968,2.75
81310,2.366825,2.81
81429,2.377299,2.81
81548,2.3595744,2.81
81669,2.3579628,2.81
81790,2.374882,2.81
81909,2.3829388,2.81
82030,2.370048,2.81
82150,2.3627968,2.81
82270,2.3756878,2.81
82391,2.3660196,2.81
82512,2.374882,2.81
82631,2.3684368,2.81
82751,2.3805218,2.81
82872,2.3636026,2.81
82993,2.3813274,2.81
83114,2.3724652,2.81
83235,2.3563516,2.81
83355,2.3764934,2.81
83476,2.3797162,2.81
83597,2.374882,2.81
83716,2.3797162,2.81
83837,2.3813274,2.81
83958,2.3563516,2.81
84079,2.3644082,2.81
84200,2.366825,2.88
84323,2.3636026,2.88
84445,2.3611856,2.88
84566,2.370048,2.88
84686,2.3740764,2.88
84807,2.3781048,2.88
84928,2.3740764,2.88
85049,2.3627968,2.88
85169,2.3523232,2.88
85289,2.377299,2.88
85409,2.3805218,2.88
85530,2.3684368,2.88
85650,2.374882,2.88
85769,2.3627968,2.88
85889,2.3587684,2.88
86010,2.3789104,2.88
86131,2.3660196,2.88
86252,2.3684368,2.88
86373,2.3805218,2.88
86494,2.366825,2.88
86614,2.3813274,2.88
86735,2.3676312,2.88
86856,2.3652138,2.88
86977,2.3571572,2.88
87098,2.3797162,2.88
87219,2.3692424,2.88
87340,2.3571572,2.88
87461,2.3724652,2.88
87582,2.3724652,2.88
87703,2.3547402,2.88
87824,2.3764934,2.94
