"Data Set 1:Time(s)","Data Set 1:Pressure(kPa)","Data Set 2:Time(s)","Data Set 2:Pressure(kPa)","Data Set 3:Time(s)","Data Set 3:Pressure(kPa)","Data Set 4:Time(s)","Data Set 4:Pressure(kPa)","Data Set 5:Time(s)","Data Set 5:Pressure(kPa)","Data Set 6:Time(s)","Data Set 6:Pressure(kPa)","Data Set 7:Time(s)","Data Set 7:Pressure(kPa)","Data Set 8:Time(s)","Data Set 8:Pressure(kPa)","Data Set 9:Time(s)","Data Set 9:Pressure(kPa)","Data Set 10:Time(s)","Data Set 10:Pressure(kPa)","Data Set 11:Time(s)","Data Set 11:Pressure(kPa)","Data Set 12:Time(s)","Data Set 12:Pressure(kPa)"
0,100.21461486816406,0,100.21461486816406,0,99.962127685546875,0,126.69484710693359,0,99.299324035644531,0,100.21461486816406,0,74.460296630859375,0,100.21461486816406,0,100.21461486816406,0,100.68804168701172,0,90.335807800292969,0,75.154655456542969
1,100.21461486816406,1,100.1514892578125,1,100.08836364746094,1,126.50547790527344,1,99.236198425292969,1,100.30929565429688,1,74.523422241210938,1,100.21461486816406,1,100.30929565429688,1,100.68804168701172,1,90.398933410644531,1,75.154655456542969
2,100.21461486816406,2,100.21461486816406,2,100.1514892578125,2,126.44235229492188,2,99.236198425292969,2,100.21461486816406,2,74.5865478515625,2,100.21461486816406,2,100.21461486816406,2,100.75115966796875,2,90.556747436523438,2,75.217781066894531
3,100.21461486816406,3,100.1514892578125,3,100.1514892578125,3,126.25298309326172,3,99.299324035644531,3,100.21461486816406,3,74.649673461914062,3,100.21461486816406,3,100.30929565429688,3,100.87740325927734,3,90.556747436523438,3,75.217781066894531
4,100.21461486816406,4,100.21461486816406,4,100.1514892578125,4,125.90579986572266,4,99.236198425292969,4,100.21461486816406,4,74.649673461914062,4,100.21461486816406,4,100.30929565429688,4,100.87740325927734,4,91.061737060546875,4,75.217781066894531
5,100.21461486816406,5,100.1514892578125,5,100.21461486816406,5,100.21461486816406,5,99.299324035644531,5,100.21461486816406,5,74.712799072265625,5,100.21461486816406,5,100.21461486816406,5,100.94052886962891,5,91.314224243164062,5,75.217781066894531
6,100.21461486816406,6,100.21461486816406,6,100.1514892578125,6,100.1514892578125,6,99.236198425292969,6,100.21461486816406,6,74.712799072265625,6,100.21461486816406,6,100.30929565429688,6,100.94052886962891,6,91.629844665527344,6,75.217781066894531
7,100.21461486816406,7,100.21461486816406,7,100.21461486816406,7,100.1514892578125,7,90.746116638183594,7,100.21461486816406,7,74.712799072265625,7,100.21461486816406,7,100.30929565429688,7,101.00365447998047,7,100.21461486816406,7,75.217781066894531
8,100.21461486816406,8,100.21461486816406,8,100.21461486816406,8,100.21461486816406,8,86.516853332519531,8,100.21461486816406,8,74.839035034179688,8,100.21461486816406,8,86.76934814453125,8,101.00365447998047,8,100.21461486816406,8,75.217781066894531
9,100.21461486816406,9,100.08836364746094,9,89.104911804199219,9,100.1514892578125,9,86.011863708496094,9,100.21461486816406,9,74.839035034179688,9,100.21461486816406,9,89.294281005859375,9,101.00365447998047,9,100.08836364746094,9,75.217781066894531
10,100.21461486816406,10,105.42228698730469,10,90.146446228027344,10,100.1514892578125,10,86.327484130859375,10,100.21461486816406,10,74.90216064453125,10,100.21461486816406,10,92.197952270507812,10,101.06678009033203,10,100.02523803710938,10,75.217781066894531
11,100.21461486816406,11,114.73297882080078,11,93.744476318359375,11,100.1514892578125,11,86.516853332519531,11,100.21461486816406,11,74.965286254882812,11,100.21461486816406,11,94.501953125,11,101.06678009033203,11,99.962127685546875,11,75.217781066894531
12,100.21461486816406,12,108.73626708984375,12,96.490333557128906,12,100.1514892578125,12,86.516853332519531,12,100.21461486816406,12,74.965286254882812,12,100.21461486816406,12,96.58502197265625,12,101.06678009033203,12,97.342506408691406,12,75.217781066894531
13,100.21461486816406,13,105.16979217529297,13,98.35247802734375,13,100.1514892578125,13,86.579978942871094,13,100.21461486816406,13,74.965286254882812,13,100.21461486816406,13,98.036857604980469,13,101.06678009033203,13,84.43377685546875,13,75.280906677246094
14,100.1514892578125,14,102.83423614501953,14,99.425567626953125,14,100.21461486816406,14,86.579978942871094,14,100.21461486816406,14,75.028404235839844,14,100.21461486816406,14,98.920585632324219,14,101.06678009033203,14,85.380630493164062,14,75.217781066894531
