Time, Voltage, Temperature 
21,1.4682947,28.81
144,1.4707118,28.81
352,1.4691005,28.81
476,1.4666835,28.81
599,1.4610437,28.81
722,1.4650722,33.12
845,1.4699061,33.12
969,1.4618493,33.12
1092,1.4723231,33.12
1216,1.4755459,33.12
1340,1.4594324,33.19
1464,1.4642663,33.19
1588,1.4634607,33.19
1799,1.4642663,33.19
1924,1.4699061,33.19
2047,1.4763515,33.19
2172,1.4674891,33.19
2296,1.4642663,33.19
2420,1.460238,33.19
2542,1.4618493,33.19
2754,1.4650722,33.19
2879,1.4586268,33.19
3003,1.4699061,33.19
3128,1.4674891,33.19
3298,1.4723231,33.19
3466,1.4570153,33.19
3643,1.4634607,33.19
3890,1.4658778,33.19
4055,1.4674891,33.19
4224,1.4594324,33.19
4395,1.457821,33.19
4567,1.4554039,33.19
4749,1.4642663,33.19
4916,1.4642663,33.19
5081,1.4707118,33.19
5256,1.4610437,33.19
5422,1.4658778,33.19
5600,1.4610437,33.19
5773,1.4545983,33.19
5941,1.4666835,33.19
6110,1.4610437,33.19
6369,1.4586268,33.19
6536,1.4570153,33.19
6703,1.4691005,33.19
6870,1.4634607,33.19
7036,1.457821,33.19
7208,1.4618493,33.19
7377,1.4626551,33.19
7549,1.4707118,33.19
7723,1.4682947,33.12
7895,1.4626551,33.12
8066,1.4562095,33.12
8237,1.4554039,33.12
8410,1.4586268,33.12
8582,1.452987,33.12
8838,1.4562095,33.12
9012,1.4545983,33.12
9179,1.452987,33.12
9348,1.4634607,33.12
9522,1.452987,33.12
9692,1.4537926,33.12
9874,1.4570153,33.12
10046,1.4658778,33.12
10218,1.4618493,33.12
10388,1.4521812,33.12
10561,1.4682947,33.12
10738,1.45057,33.12
10917,1.4554039,33.12
11090,1.4570153,33.12
11353,1.4545983,33.12
11521,1.4562095,33.12
11690,1.4594324,33.12
11859,1.4521812,33.12
12033,1.4650722,33.12
12207,1.4521812,33.12
12386,1.4537926,33.12
12565,1.4545983,33.12
12737,1.4489585,33.12
12908,1.4537926,33.12
13093,1.4610437,33.12
13274,1.4586268,33.12
13443,1.4545983,33.12
13619,1.4642663,33.12
13875,1.45057,33.12
14042,1.4521812,33.19
14216,1.45057,33.19
14386,1.4594324,33.19
14561,1.4481528,33.19
14741,1.4554039,33.19
14926,1.460238,33.19
15094,1.4489585,33.19
15272,1.4457358,33.19
15443,1.4513756,33.19
15617,1.4570153,33.12
15798,1.4457358,33.12
15976,1.4618493,33.12
16159,1.4481528,33.12
16421,1.4570153,33.19
16595,1.4554039,33.19
16770,1.4618493,33.19
16950,1.460238,33.19
17128,1.457821,33.19
17305,1.4594324,33.19
17484,1.4521812,33.19
17665,1.4465416,33.19
17836,1.4554039,33.19
18014,1.4457358,33.19
18187,1.4457358,33.19
18364,1.4610437,33.19
18544,1.4465416,33.19
18719,1.4441245,33.19
18985,1.4610437,33.19
19158,1.4449302,33.19
19335,1.4457358,33.19
19509,1.4521812,33.19
19688,1.4537926,33.19
19863,1.4618493,33.19
20055,1.457821,33.19
20234,1.4521812,33.19
20413,1.4586268,33.19
20587,1.452987,33.19
20763,1.4432685,33.19
20945,1.4432685,33.19
21130,1.4562095,33.19
21311,1.4449302,33.19
21570,1.4537926,33.19
21744,1.4594324,33.19
21923,1.4449302,33.25
22102,1.4449302,33.25
22290,1.4424628,33.25
22473,1.4473472,33.25
22648,1.4416572,33.25
22828,1.4416572,33.25
23008,1.4408513,33.25
23190,1.4449302,33.25
23381,1.4457358,33.25
23560,1.457821,33.25
23734,1.4432685,33.25
23917,1.4513756,33.25
24182,1.4465416,33.25
24366,1.4432685,33.25
24549,1.4449302,33.25
24728,1.4457358,33.25
24910,1.4481528,33.25
25096,1.4408513,33.25
25274,1.4416572,33.25
25452,1.4562095,33.25
25631,1.4424628,33.25
25810,1.4408513,33.25
25993,1.4473472,33.25
26174,1.4457358,33.25
26358,1.4481528,33.25
26544,1.4408513,33.25
26807,1.4352118,33.25
26989,1.4481528,33.31
27172,1.4545983,33.31
27355,1.4400457,33.31
27539,1.4465416,33.31
27719,1.4513756,33.31
27902,1.4457358,33.31
28079,1.4392401,33.31
28263,1.4521812,33.31
28447,1.4489585,33.31
28643,1.4400457,33.31
28826,1.4384344,33.31
29008,1.4376288,33.31
29188,1.4441245,33.31
29459,1.4360174,33.31
29647,1.4400457,33.31
29839,1.4376288,33.31
30023,1.4392401,33.31
30217,1.436823,33.31
30392,1.4465416,33.31
30575,1.4441245,33.31
30755,1.4473472,33.31
30939,1.4400457,33.31
31124,1.4489585,33.31
31312,1.4432685,33.31
31504,1.434406,33.31
31689,1.4400457,33.31
31872,1.434406,33.31
32153,1.4376288,33.38
32343,1.4408513,33.38
32526,1.4424628,33.38
32710,1.436823,33.38
32889,1.4376288,33.31
33070,1.4424628,33.31
33255,1.4408513,33.31
33442,1.4400457,33.31
33627,1.4465416,33.38
33866,1.4473472,33.38
34027,1.4376288,33.38
34198,1.4360174,33.38
34357,1.4489585,33.38
34521,1.4416572,33.38
34781,1.4449302,33.38
34949,1.4392401,33.38
35121,1.4400457,33.38
35290,1.4408513,33.38
35456,1.4376288,33.38
35622,1.434406,33.38
35787,1.431989,33.38
35954,1.431989,33.38
36120,1.4352118,33.38
36289,1.4465416,33.38
36459,1.4408513,33.38
36622,1.4457358,33.38
36793,1.4384344,33.38
36954,1.4441245,33.38
37207,1.4352118,33.44
37378,1.4449302,33.44
37542,1.4336004,33.44
37709,1.4336004,33.44
37875,1.4424628,33.44
38038,1.4303776,33.44
38205,1.4311833,33.44
38376,1.4311833,33.44
38545,1.4311833,33.44
38727,1.4384344,33.44
38895,1.4360174,33.44
39062,1.429572,33.44
